cce_id,crop,data_collection_year,country,q_wet_harvest_photo,q_harvest_bags_photo,q_box1_threshed_photo,q_box2_threshed_photo,q_field_photo,latitude,longitude,box1_wet_weight_confirmation,q_box1_wet_weight_photo,box2_wet_weight_confirmation,q_box2_wet_weight_photo,box1_dry_weight_confirmation,q_box1_dry_weight_photo,box2_dry_weight_confirmation,q_box2_dry_weight_photo,box1_into_mt_ha,box2_into_mt_ha,Box used,Avg_yield_mt_ha,Comments,zone
0012b17c-5067-408d-b46b-0d2a9f966edc,Maize,2024,Zimbabwe,,,,,https://mavuno-files.s3-eu-west-1.amazonaws.com/survey-images/aa769be0-0b3f-4cf2-8742-093402f7457d/q_field_photo/2024-04-15-16-41-02-710.jpg,-17.9321259,29.8748834,0,,0,,0,,0,,0,0,used box 1 and 11,0,have average yields,2024.0_128_Client_M
00250a71-8a9e-4efb-82f0-39757ad293e3,Maize,2024,Zimbabwe,,,,,https://mavuno-files.s3-eu-west-1.amazonaws.com/survey-images/d10c9023-a0b3-4d65-a14b-4115ed6704a6/q_field_photo/2024-04-19-13-10-04-508.jpg,-17.87201833,29.72478333,0,,0,,0,,0,,0,0,used box 1 and 17,0,have average yields,2024.0_128_Client_M
00402243-ef09-4a58-903e-a1a24c40f1cf,Maize,2024,Zimbabwe,https://mavuno-files.s3-eu-west-1.amazonaws.com/survey-images/806a6ec7-c46f-4132-8ee9-39eae638d86a/q_wet_harvest_photo/2024-04-17-18-17-23-727.jpg,https://mavuno-files.s3-eu-west-1.amazonaws.com/survey-images/806a6ec7-c46f-4132-8ee9-39eae638d86a/q_harvest_bags_photo/2024-04-17-18-17-28-845.jpg,https://mavuno-files.s3-eu-west-1.amazonaws.com/survey-images/9fb12369-c1b0-4a61-bd6a-2bd553299057/q_box1_threshed_photo/2024-04-23-10-52-05-719.jpg,https://mavuno-files.s3-eu-west-1.amazonaws.com/survey-images/9fb12369-c1b0-4a61-bd6a-2bd553299057/q_box2_threshed_photo/2024-04-23-10-52-38-291.jpg,https://mavuno-files.s3-eu-west-1.amazonaws.com/survey-images/7d1ea948-0141-4ead-ab68-37aaac1cb694/q_field_photo/2024-04-17-18-12-15-289.jpg,-17.5580705,31.3644905,0.555,https://mavuno-files.s3-eu-west-1.amazonaws.com/survey-images/806a6ec7-c46f-4132-8ee9-39eae638d86a/q_box1_wet_weight_photo/2024-04-17-18-17-13-493.jpg,0.535,https://mavuno-files.s3-eu-west-1.amazonaws.com/survey-images/806a6ec7-c46f-4132-8ee9-39eae638d86a/q_box2_wet_weight_photo/2024-04-17-18-17-18-615.jpg,0.235,https://mavuno-files.s3-eu-west-1.amazonaws.com/survey-images/9fb12369-c1b0-4a61-bd6a-2bd553299057/q_box1_dry_weight_photo/2024-04-23-10-52-32-944.jpg,0.19,https://mavuno-files.s3-eu-west-1.amazonaws.com/survey-images/9fb12369-c1b0-4a61-bd6a-2bd553299057/q_box2_dry_weight_photo/2024-04-23-10-52-38-628.jpg,0.05875,0.0475,used box 1 and 32,0.053125,have average yields,2024.0_88_Client_M
0054cef8-07b4-4d80-bdf9-c70d9afd6797,Maize,2024,Zimbabwe,,,,,https://mavuno-files.s3-eu-west-1.amazonaws.com/survey-images/04c458ab-f5f4-46a2-98f7-ad9caa7c546e/q_field_photo/2024-06-25-08-53-23-720.jpg,-17.6330639,29.0002663,0,,0,,0,,0,,0,0,used box 1 and 40,0,have average yields,2024.0_65_Client_M
0054dba5-451b-427d-ae19-d473f40c51c4,Maize,2024,Zimbabwe,,,,,https://mavuno-files.s3-eu-west-1.amazonaws.com/survey-images/8d079981-4a6a-4002-ba2a-14749ebca67f/q_field_photo/2024-04-16-13-08-44-897.jpg,-17.9624,29.76089167,0,,0,,0,,0,,0,0,used box 1 and 41,0,have average yields,2024.0_128_Client_M
005b148d-b48e-4f79-ab6d-5e0354426247,Maize,2024,Zimbabwe,https://mavuno-files.s3-eu-west-1.amazonaws.com/survey-images/8b40fffa-b066-48ba-a05a-ed3adb31d50f/q_wet_harvest_photo/2024-04-13-16-34-51-628.jpg,https://mavuno-files.s3-eu-west-1.amazonaws.com/survey-images/8b40fffa-b066-48ba-a05a-ed3adb31d50f/q_harvest_bags_photo/2024-04-13-16-34-51-890.jpg,https://mavuno-files.s3-eu-west-1.amazonaws.com/survey-images/92fd6758-a0f5-49d0-bfad-6b867353cd30/q_box1_threshed_photo/2024-05-05-09-04-53-952.jpg,https://mavuno-files.s3-eu-west-1.amazonaws.com/survey-images/92fd6758-a0f5-49d0-bfad-6b867353cd30/q_box2_threshed_photo/2024-05-05-09-04-56-742.jpg,https://mavuno-files.s3-eu-west-1.amazonaws.com/survey-images/b34452af-4a39-42ca-b8b6-913db4ba96a3/q_field_photo/2024-04-13-16-02-12-221.jpg,-18.72247833,30.50319333,4.32,https://mavuno-files.s3-eu-west-1.amazonaws.com/survey-images/8b40fffa-b066-48ba-a05a-ed3adb31d50f/q_box1_wet_weight_photo/2024-04-13-16-34-51-138.jpg,5.08,https://mavuno-files.s3-eu-west-1.amazonaws.com/survey-images/8b40fffa-b066-48ba-a05a-ed3adb31d50f/q_box2_wet_weight_photo/2024-04-13-16-34-51-365.jpg,3,https://mavuno-files.s3-eu-west-1.amazonaws.com/survey-images/92fd6758-a0f5-49d0-bfad-6b867353cd30/q_box1_dry_weight_photo/2024-05-05-09-04-55-314.jpg,3.5,https://mavuno-files.s3-eu-west-1.amazonaws.com/survey-images/92fd6758-a0f5-49d0-bfad-6b867353cd30/q_box2_dry_weight_photo/2024-05-05-09-04-58-118.jpg,0.75,0.875,used box 1 and 44,0.8125,have average yields,2024.0_34_Client_M
006dfbd7-b396-4b3a-baad-ff3b2dbd271e,Maize,2024,Zimbabwe,,,,,https://mavuno-files.s3-eu-west-1.amazonaws.com/survey-images/e3447dac-924b-46ba-b3a1-f6b406f0d087/q_field_photo/2024-05-15-12-38-20-589.jpg,-19.068795,29.65406833,0,,0,,0,,0,,0,0,used box 1 and 62,0,have average yields,2024.0_64_Client_M
007721f2-820d-4ac9-a072-cf5748976e1e,Maize,2024,Zimbabwe,https://mavuno-files.s3-eu-west-1.amazonaws.com/survey-images/33b7acd4-ad5e-45c7-bf2c-dac6e092a1f7/q_wet_harvest_photo/2024-04-27-15-03-20-630.jpg,https://mavuno-files.s3-eu-west-1.amazonaws.com/survey-images/33b7acd4-ad5e-45c7-bf2c-dac6e092a1f7/q_harvest_bags_photo/2024-04-27-15-03-26-688.jpg,https://mavuno-files.s3-eu-west-1.amazonaws.com/survey-images/efd1e40b-9d5c-483c-807c-7d430bba9c01/q_box1_threshed_photo/2024-05-17-14-44-15-278.jpg,https://mavuno-files.s3-eu-west-1.amazonaws.com/survey-images/efd1e40b-9d5c-483c-807c-7d430bba9c01/q_box2_threshed_photo/2024-05-17-14-44-28-899.jpg,https://mavuno-files.s3-eu-west-1.amazonaws.com/survey-images/f22e35f1-005c-4aaf-bf7c-ad954ced71f6/q_field_photo/2024-04-27-13-58-09-826.jpg,-16.81640842,29.77541575,1.15,https://mavuno-files.s3-eu-west-1.amazonaws.com/survey-images/33b7acd4-ad5e-45c7-bf2c-dac6e092a1f7/q_box1_wet_weight_photo/2024-04-27-15-03-42-204.jpg,2.435,https://mavuno-files.s3-eu-west-1.amazonaws.com/survey-images/33b7acd4-ad5e-45c7-bf2c-dac6e092a1f7/q_box2_wet_weight_photo/2024-04-27-15-03-48-341.jpg,0.535,https://mavuno-files.s3-eu-west-1.amazonaws.com/survey-images/efd1e40b-9d5c-483c-807c-7d430bba9c01/q_box1_dry_weight_photo/2024-05-17-14-44-22-800.jpg,1.245,https://mavuno-files.s3-eu-west-1.amazonaws.com/survey-images/efd1e40b-9d5c-483c-807c-7d430bba9c01/q_box2_dry_weight_photo/2024-05-17-14-44-34-863.jpg,0.13375,0.31125,used box 1 and 72,0.2225,have average yields,2024.0_68_Client_M
007d13fa-7e8a-4dd7-a3c3-2fb36002efd4,Maize,2024,Zimbabwe,https://mavuno-files.s3-eu-west-1.amazonaws.com/survey-images/518ee3b6-c6bb-4955-9d5c-f5d666733242/q_wet_harvest_photo/2024-04-21-11-12-49-571.jpg,https://mavuno-files.s3-eu-west-1.amazonaws.com/survey-images/518ee3b6-c6bb-4955-9d5c-f5d666733242/q_harvest_bags_photo/2024-04-21-11-12-54-386.jpg,https://mavuno-files.s3-eu-west-1.amazonaws.com/survey-images/08484199-3416-4060-b87c-1af3829aeaf7/q_box1_threshed_photo/2024-05-27-15-29-46-555.jpg,https://mavuno-files.s3-eu-west-1.amazonaws.com/survey-images/08484199-3416-4060-b87c-1af3829aeaf7/q_box2_threshed_photo/2024-05-27-15-29-47-478.jpg,https://mavuno-files.s3-eu-west-1.amazonaws.com/survey-images/4886e223-0362-4412-8221-4ec0bad911c7/q_field_photo/2024-04-20-09-12-37-018.jpg,-16.8191914,31.0616479,38.86,https://mavuno-files.s3-eu-west-1.amazonaws.com/survey-images/518ee3b6-c6bb-4955-9d5c-f5d666733242/q_box1_wet_weight_photo/2024-04-21-11-12-39-137.jpg,28.38,https://mavuno-files.s3-eu-west-1.amazonaws.com/survey-images/518ee3b6-c6bb-4955-9d5c-f5d666733242/q_box2_wet_weight_photo/2024-04-21-11-12-44-346.jpg,14.94,https://mavuno-files.s3-eu-west-1.amazonaws.com/survey-images/08484199-3416-4060-b87c-1af3829aeaf7/q_box1_dry_weight_photo/2024-05-27-15-29-47-006.jpg,11.09,https://mavuno-files.s3-eu-west-1.amazonaws.com/survey-images/08484199-3416-4060-b87c-1af3829aeaf7/q_box2_dry_weight_photo/2024-05-27-15-29-47-959.jpg,3.735,2.7725,used box 1 and 75,3.25375,have average yields,2024.0_107_Client_M
008923a7-bd1a-4d59-9203-84790a3cdef6,Maize,2024,Zimbabwe,https://mavuno-files.s3-eu-west-1.amazonaws.com/survey-images/62768e3a-4d84-4a99-8519-15641aaf15d0/q_wet_harvest_photo/2024-04-30-09-16-35-979.jpg,https://mavuno-files.s3-eu-west-1.amazonaws.com/survey-images/62768e3a-4d84-4a99-8519-15641aaf15d0/q_harvest_bags_photo/2024-04-30-09-16-36-156.jpg,https://mavuno-files.s3-eu-west-1.amazonaws.com/survey-images/65f1c1cb-6bbe-4518-bc6e-a52549b09b29/q_box1_threshed_photo/2024-05-13-16-18-00-160.jpg,https://mavuno-files.s3-eu-west-1.amazonaws.com/survey-images/65f1c1cb-6bbe-4518-bc6e-a52549b09b29/q_box2_threshed_photo/2024-05-13-16-18-00-398.jpg,https://mavuno-files.s3-eu-west-1.amazonaws.com/survey-images/3413f8d2-39e4-4eb3-b960-8afb16d378d0/q_field_photo/2024-04-30-09-03-46-356.jpg,-20.08877,32.6460717,4.255,https://mavuno-files.s3-eu-west-1.amazonaws.com/survey-images/62768e3a-4d84-4a99-8519-15641aaf15d0/q_box1_wet_weight_photo/2024-04-30-09-16-35-647.jpg,5.5,https://mavuno-files.s3-eu-west-1.amazonaws.com/survey-images/62768e3a-4d84-4a99-8519-15641aaf15d0/q_box2_wet_weight_photo/2024-04-30-09-16-35-800.jpg,1.135,https://mavuno-files.s3-eu-west-1.amazonaws.com/survey-images/65f1c1cb-6bbe-4518-bc6e-a52549b09b29/q_box1_dry_weight_photo/2024-05-13-16-18-00-277.jpg,3.63,https://mavuno-files.s3-eu-west-1.amazonaws.com/survey-images/65f1c1cb-6bbe-4518-bc6e-a52549b09b29/q_box2_dry_weight_photo/2024-05-13-16-18-00-522.jpg,0.28375,0.9075,used box 1 and 84,0.595625,have average yields,2024.0_58_Client_M
