size,zone,r2
33,2024.0_100_Client_H,0.2013811924939038
24,2024.0_100_Client_N,0.06545254739042662
31,2024.0_100_Client_O,0.07180590232303151
29,2024.0_101_Client_H,0.15099901437656038
32,2024.0_102_Client_H,0.07171268468850166
28,2024.0_102_Client_N,0.02391937380440362
29,2024.0_102_Client_O,0.013150032877984436
37,2024.0_103_Client_H,0.09541640265832342
32,2024.0_103_Client_N,0.020409043454017076
34,2024.0_103_Client_O,0.002723275771553484
30,2024.0_104_Client_H,0.20988305847913796
28,2024.0_104_Client_N,0.46357908353927424
37,2024.0_104_Client_O,0.07790241880166023
30,2024.0_105_Client_H,0.02862423132455609
30,2024.0_105_Client_N,0.20099758254571706
34,2024.0_105_Client_O,0.14127276060885993
32,2024.0_106_Client_H,0.2323263400901546
33,2024.0_107_Client_H,0.0340761062516163
31,2024.0_107_Client_N,0.1918183259884674
27,2024.0_108_Client_N,0
23,2024.0_108_Client_O,0
32,2024.0_109_Client_H,0.2969189468320401
22,2024.0_109_Client_N,0.028529411420482997
32,2024.0_109_Client_O,0.007963264153929544
36,2024.0_10_Client_H,0.06312445597411308
30,2024.0_10_Client_O,0.008629922721712865
31,2024.0_110_Client_H,0.3916583590046555
27,2024.0_110_Client_O,0.2597684629228074
32,2024.0_111_Client_H,0.030133551378374472
30,2024.0_111_Client_N,0.18283339849697844
39,2024.0_111_Client_O,0.46258830829313213
28,2024.0_112_Client_H,0.07169577065054025
21,2024.0_112_Client_N,0.1916211238130741
29,2024.0_113_Client_H,0.14306980199722424
31,2024.0_113_Client_N,2.689323701893092e-5
29,2024.0_113_Client_O,2.9342391948883394e-4
27,2024.0_114_Client_H,0.3630990546072644
29,2024.0_114_Client_N,0.4295808212942577
30,2024.0_115_Client_E,0.15068848067164448
28,2024.0_115_Client_N,0.07649149907927158
28,2024.0_115_Client_O,5.880875908379732e-4
25,2024.0_116_Client_H,0.25215878201504127
34,2024.0_116_Client_N,0.030123609515474215
36,2024.0_116_Client_O,0.25083234020948697
33,2024.0_117_Client_E,0.28120804805800304
46,2024.0_117_Client_H,0.017941811535039487
43,2024.0_117_Client_N,0.06793383922917662
30,2024.0_117_Client_O,0.6817201022679715
31,2024.0_118_Client_H,0.04292418072240725
25,2024.0_118_Client_N,0.020312895212263697
31,2024.0_118_Client_O,3.9680820012882536e-4
29,2024.0_119_Client_H,0.1474160128839991
31,2024.0_119_Client_N,0.01841366372828986
34,2024.0_119_Client_O,0.3453710689292874
30,2024.0_11_Client_H,0.008050457681053514
31,2024.0_11_Client_O,0.05742315476849975
24,2024.0_120_Client_H,0.2696141383717769
27,2024.0_120_Client_N,0.4426845498489097
31,2024.0_121_Client_H,0.12373541892558018
33,2024.0_121_Client_O,0.030838353122329486
36,2024.0_122_Client_N,0.03318670312089249
31,2024.0_123_Client_H,0.0853026945516394
31,2024.0_123_Client_N,0.0217504587185874
32,2024.0_123_Client_O,0.1458047506924971
30,2024.0_124_Client_H,0.16512588706753778
30,2024.0_124_Client_N,0.5195455046968999
34,2024.0_124_Client_O,0.043544431432849084
30,2024.0_125_Client_H,0.14145686236074542
32,2024.0_125_Client_O,0.5047531147777994
24,2024.0_126_Client_H,0.014969278570103692
29,2024.0_126_Client_O,0
20,2024.0_127_Client_H,0.03251131309592556
28,2024.0_127_Client_N,0.14303815600218536
34,2024.0_127_Client_O,0.1957468626872487
31,2024.0_128_Client_O,0.11299762426739028
33,2024.0_129_Client_H,0
27,2024.0_129_Client_N,0
34,2024.0_129_Client_O,0
21,2024.0_12_Client_H,0.19189937855821715
29,2024.0_130_Client_H,0.4387088920144805
29,2024.0_130_Client_N,0.05868942432748313
30,2024.0_130_Client_O,0.06462234300781944
25,2024.0_131_Client_H,0.5869621668431582
23,2024.0_131_Client_N,0.07843536981964516
39,2024.0_131_Client_O,0.28960854534784763
29,2024.0_132_Client_H,0.10063307161871271
29,2024.0_132_Client_O,4.553905236343694e-5
27,2024.0_133_Client_H,0.4112617881456533
28,2024.0_133_Client_N,0.5138050814693093
32,2024.0_133_Client_O,0.16129466817721672
33,2024.0_134_Client_H,0.004030224867709201
33,2024.0_134_Client_N,0.02662145000425795
