size,zone,r2
30,2024.0_134_Client_O,0.03879523588316077
31,2024.0_135_Client_H,0.03118097121835955
30,2024.0_135_Client_O,2.706885649927837e-4
31,2024.0_136_Client_H,0.009104705536980177
31,2024.0_136_Client_N,0.09167989240961426
32,2024.0_136_Client_O,1.5050753075838558e-5
31,2024.0_137_Client_H,0.042157136347569776
31,2024.0_137_Client_N,0.04673889935728323
38,2024.0_137_Client_O,0.013095933643405739
33,2024.0_138_Client_E,0.14167695262853763
32,2024.0_138_Client_N,0.007814801324733145
30,2024.0_138_Client_O,3.6236197487649584e-4
29,2024.0_139_Client_H,0.002048391454862985
30,2024.0_139_Client_N,0.20363266382174647
47,2024.0_139_Client_O,0.22487713447976448
31,2024.0_13_Client_H,0.003447577280278622
49,2024.0_140_Client_E,0.23496799697295814
26,2024.0_140_Client_N,0.21027478075034947
30,2024.0_141_Client_H,0.11349699135184428
24,2024.0_141_Client_O,0.043111477054619235
27,2024.0_142_Client_H,0.1342102623515754
38,2024.0_142_Client_O,0.008252075597661689
30,2024.0_143_Client_H,0.11703412800825383
29,2024.0_143_Client_N,0.2770251388875101
33,2024.0_143_Client_O,0.1594240818035257
32,2024.0_144_Client_H,0.2462792959373575
24,2024.0_144_Client_N,0.38434881971624374
28,2024.0_145_Client_H,0.0010381223528750396
33,2024.0_145_Client_O,0.022312708791726914
33,2024.0_146_Client_H,0.044337487894897866
32,2024.0_146_Client_N,0.3657274470921634
32,2024.0_146_Client_O,0.21781035458897247
28,2024.0_147_Client_H,0.2690507010737625
31,2024.0_147_Client_O,0.0596804395364419
30,2024.0_148_Client_O,0
33,2024.0_149_Client_H,0.15646928361036533
30,2024.0_14_Client_H,0.003941824280720691
30,2024.0_150_Client_H,0.20093152855577254
27,2024.0_150_Client_N,0.11837218895288991
33,2024.0_150_Client_O,0.01959210043014871
211,2024.0_15_Client_BA,0.14630933726567177
49,2024.0_15_Client_E,0.0037991301314262873
34,2024.0_15_Client_H,0.01259956939316188
26,2024.0_15_Client_N,0.04232065925470862
37,2024.0_15_Client_O,0.03947483795324154
31,2024.0_16_Client_H,0.056296773073961956
32,2024.0_16_Client_O,0.015459166668510011
37,2024.0_17_Client_O,0.0029583551899801603
29,2024.0_18_Client_H,0.03920707566697452
20,2024.0_18_Client_N,0.020113853670668595
37,2024.0_18_Client_O,0.03431661009360068
21,2024.0_19_Client_E,0.42918039493655585
25,2024.0_19_Client_H,0.4919046773567218
28,2024.0_19_Client_N,0.02600119637463086
34,2024.0_19_Client_O,0.37226855981206763
21,2024.0_1_Client_N,0
26,2024.0_1_Client_O,1.7867533006252388e-4
30,2024.0_20_Client_H,0.02655639097308149
30,2024.0_20_Client_O,0.028408599608301315
34,2024.0_22_Client_H,0.10207886110265214
27,2024.0_23_Client_N,0.29251660193102946
38,2024.0_23_Client_O,0.2711507778817033
45,2024.0_24_Client_E,0.23608280201766302
33,2024.0_24_Client_O,0
30,2024.0_25_Client_H,0.001523879443512851
31,2024.0_25_Client_N,0.4095817262336202
29,2024.0_26_Client_H,9.033620932930302e-4
33,2024.0_26_Client_O,0.011912612641379855
30,2024.0_27_Client_H,0.06040420559646012
29,2024.0_27_Client_O,0.19864232139742882
30,2024.0_28_Client_H,0.6902421749942783
30,2024.0_28_Client_N,0
25,2024.0_28_Client_O,0
30,2024.0_29_Client_H,0.1426547724016407
35,2024.0_29_Client_O,0.031278034741916094
30,2024.0_2_Client_H,0.11469249491954608
28,2024.0_2_Client_N,0.016365191613565633
30,2024.0_2_Client_O,0.08933475525040033
30,2024.0_30_Client_N,0.12231489962588575
33,2024.0_30_Client_O,0.4342256093926157
32,2024.0_31_Client_H,0.09533105585500172
28,2024.0_31_Client_N,0.021828369600444382
44,2024.0_31_Client_O,0.15661806480794788
30,2024.0_32_Client_H,0.00609503861685131
20,2024.0_32_Client_N,0.03526903881575247
28,2024.0_33_Client_H,0.0059576604174947844
35,2024.0_34_Client_E,0.1243699574819814
30,2024.0_35_Client_H,0.26124884997977615
20,2024.0_35_Client_O,0.05648539634630042
29,2024.0_36_Client_H,0.11277603987987556
36,2024.0_36_Client_O,0.22094889979271312
32,2024.0_37_Client_H,0.01952718473076782
38,2024.0_37_Client_O,0.0219352424107067
30,2024.0_38_Client_H,0.09261404928526827
25,2024.0_38_Client_N,0.07924731064897539
34,2024.0_38_Client_O,0.2025061219618507
42,2024.0_39_Client_E,0.012230411757684597
30,2024.0_39_Client_N,0.0015687765734661613
46,2024.0_39_Client_O,0.17926554651411652
24,2024.0_3_Client_H,0.33517401428320703
25,2024.0_3_Client_N,0.055173350154891804
26,2024.0_3_Client_O,0.28789300921600486
31,2024.0_40_Client_H,0.09975051349267143
41,2024.0_40_Client_O,0.35382118004741525
37,2024.0_41_Client_H,0.11006719368303754
31,2024.0_41_Client_O,0.17009497622185185
35,2024.0_42_Client_E,0.3874911231044798
32,2024.0_42_Client_H,0.40353341281039484
27,2024.0_42_Client_N,0.4196280686723464
28,2024.0_42_Client_O,0.043009467110450506
30,2024.0_43_Client_H,0.01189169713364703
32,2024.0_43_Client_N,0.09278943196682711
31,2024.0_44_Client_H,0.09956743550219493
37,2024.0_44_Client_O,0.2806701909360538
29,2024.0_45_Client_H,0.5036058244621925
40,2024.0_46_Client_H,0.28483055875038704
35,2024.0_46_Client_N,0.2856392925726267
33,2024.0_46_Client_O,0.06335777419602968
31,2024.0_47_Client_H,0.2650150301054057
20,2024.0_47_Client_N,0.002791678508886011
45,2024.0_47_Client_O,1.0414173375156246e-4
30,2024.0_48_Client_O,0
36,2024.0_49_Client_H,0.19771725329397194
33,2024.0_49_Client_N,0.046982852769096674
30,2024.0_4_Client_H,0.185973103274019
28,2024.0_4_Client_N,0.14065579485888444
29,2024.0_4_Client_O,0.16180858870119222
31,2024.0_50_Client_H,0.14718986608921067
22,2024.0_50_Client_N,0.1075445288837507
38,2024.0_51_Client_E,0.20940860336623132
28,2024.0_51_Client_N,0.03707969649612019
29,2024.0_52_Client_H,0.22693534296968151
34,2024.0_52_Client_N,0.1503927291087642
35,2024.0_52_Client_O,0.33738093919643997
38,2024.0_53_Client_E,0
27,2024.0_53_Client_N,0
45,2024.0_54_Client_E,0.34732708000968426
24,2024.0_54_Client_H,0.058964131390788335
26,2024.0_54_Client_N,0.22411081098037985
32,2024.0_54_Client_O,0.1973683714379111
31,2024.0_55_Client_H,0.19120832772044308
28,2024.0_55_Client_N,0.09237064168361173
42,2024.0_56_Client_H,0.4856234084915734
30,2024.0_58_Client_H,7.859107053593292e-4
29,2024.0_58_Client_O,0.001485130142580078
30,2024.0_59_Client_H,0.2220953075099637
28,2024.0_59_Client_N,0.6157955035206293
40,2024.0_59_Client_O,0.18702665956213213
31,2024.0_5_Client_H,0.43536178387758434
32,2024.0_5_Client_O,0.2473833654793048
31,2024.0_60_Client_H,0.05872372635856781
28,2024.0_60_Client_N,1.210610489082498e-5
40,2024.0_60_Client_O,0.04041224135846678
33,2024.0_61_Client_H,0.4339993331696887
31,2024.0_61_Client_O,0.11820980657441899
27,2024.0_62_Client_H,0.15405005675562866
23,2024.0_62_Client_O,0.23921755109334958
31,2024.0_63_Client_E,0.2226295350570845
28,2024.0_63_Client_N,0.2023828579289896
29,2024.0_63_Client_O,0.08377944271385945
30,2024.0_64_Client_H,0.2640366462568056
34,2024.0_65_Client_H,6.436402969219396e-5
29,2024.0_65_Client_N,0.026376020337822718
32,2024.0_65_Client_O,0.13526401660230764
26,2024.0_66_Client_E,0.2037406163788484
30,2024.0_66_Client_H,0.15976793054317984
30,2024.0_67_Client_H,0.005274323111887996
32,2024.0_67_Client_O,0.2758358285760051
31,2024.0_68_Client_H,0.008634815325699168
22,2024.0_68_Client_N,0.009345390128202919
30,2024.0_68_Client_O,0.02268210009037841
28,2024.0_69_Client_H,0.6265423450926628
26,2024.0_69_Client_N,0.25437848913462097
31,2024.0_6_Client_H,0.01294152398224881
26,2024.0_6_Client_N,0.1258776085885594
38,2024.0_6_Client_O,0.5560916872141863
28,2024.0_70_Client_H,0.07113334051407189
37,2024.0_70_Client_N,0.16729877879262736
31,2024.0_70_Client_O,0.32081133204896867
28,2024.0_71_Client_H,0.16396444877558664
35,2024.0_72_Client_H,0.04606328620663992
32,2024.0_72_Client_O,0.2692516911082769
29,2024.0_73_Client_N,0.15044712696820892
32,2024.0_73_Client_O,0.3467083275647026
28,2024.0_74_Client_H,0.17571056454056774
22,2024.0_74_Client_O,0.31730776331960253
29,2024.0_75_Client_H,0.00930552777842951
24,2024.0_75_Client_N,0.012483963239631976
31,2024.0_75_Client_O,0.21664843986268134
36,2024.0_76_Client_O,0
35,2024.0_77_Client_H,0.05623465183573768
30,2024.0_77_Client_N,0.20788315119337894
31,2024.0_77_Client_O,0.15458086146421832
25,2024.0_78_Client_H,0.008532801301990132
30,2024.0_78_Client_N,0.020983408405059085
26,2024.0_7_Client_H,0.3706279922535915
25,2024.0_7_Client_N,0
24,2024.0_7_Client_O,0.10124209054894924
28,2024.0_80_Client_H,0.14593755201791808
31,2024.0_80_Client_O,0.16624888649127817
40,2024.0_81_Client_H,0.018384611372013658
26,2024.0_81_Client_N,0
39,2024.0_81_Client_O,0
32,2024.0_82_Client_E,0
31,2024.0_82_Client_N,0
30,2024.0_82_Client_O,0
30,2024.0_83_Client_H,0.032302740785537444
32,2024.0_83_Client_O,0.19494217044428153
29,2024.0_84_Client_H,0.1861836196232277
26,2024.0_84_Client_N,0.09101096280640673
46,2024.0_84_Client_O,0.31749033761223316
29,2024.0_85_Client_H,0.10598561823353267
44,2024.0_85_Client_O,0.14609357354676225
31,2024.0_86_Client_H,0.14146583237237867
20,2024.0_86_Client_N,0.11372210335815391
34,2024.0_86_Client_O,0.2787514122462546
39,2024.0_87_Client_E,0.1798630145371148
34,2024.0_87_Client_H,0.4958591730566991
27,2024.0_87_Client_N,0.08818481269025549
39,2024.0_87_Client_O,0.5155327973914436
31,2024.0_88_Client_H,0.12787643665288606
30,2024.0_88_Client_O,0.01789404350556652
31,2024.0_89_Client_H,0.35413829677336467
31,2024.0_89_Client_O,0.46095101161120355
29,2024.0_8_Client_H,0.06436017585893913
32,2024.0_8_Client_N,0.033402357309087624
35,2024.0_8_Client_O,0.1314137393384015
28,2024.0_90_Client_H,0.003722477939280471
30,2024.0_91_Client_H,0.14493874311863383
33,2024.0_91_Client_O,0.10165138117579406
32,2024.0_92_Client_E,0.045787346789895746
26,2024.0_92_Client_O,0.1792598402364033
31,2024.0_93_Client_H,0.3149653818957539
31,2024.0_93_Client_O,0.06354665150381146
30,2024.0_95_Client_H,0.004593115911420338
30,2024.0_95_Client_O,0.007394160897787718
30,2024.0_96_Client_H,0.032596595384581206
27,2024.0_96_Client_N,0.2800951947180152
30,2024.0_96_Client_O,0.026987498927187863
30,2024.0_97_Client_H,0.005597960827100033
24,2024.0_97_Client_N,0.0015740671598615079
30,2024.0_97_Client_O,0.01644709466879917
21,2024.0_98_Client_H,0.3780532659779701
24,2024.0_98_Client_N,0.08658083117074387
30,2024.0_98_Client_O,0.18974863696359576
30,2024.0_99_Client_N,0.4323554596009067
34,2024.0_99_Client_O,0.1373804396696849
28,2024.0_9_Client_H,0.20146128604919572
30,2024.0_9_Client_N,1.3629003202041884e-5
34,2024.0_9_Client_O,0.0665699066450611
